,time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km
80,2025-04-29 19:14:24+00:00,34.607078,-98.423832,341.3,166.0,83,,1.0,3.0303350242968947,3.0303350242968947,3.1435760655611102,318.1090513302104
81,2025-04-29 19:14:25+00:00,34.607075,-98.423801,341.3,166.0,83,,1.0,2.8566882014748063,2.8566882014748063,3.0168804314596507,331.4682244520285
82,2025-04-29 19:14:26+00:00,34.607073,-98.42377,341.3,166.0,83,,1.0,2.8458472199600884,2.8458472199600884,2.8506601036539174,350.79594326879607
83,2025-04-29 19:14:27+00:00,34.607071,-98.42374,341.2,167.0,83,,1.0,2.7546156532127215,2.7546156532127215,2.8407873688887513,352.0150824914349
84,2025-04-29 19:14:28+00:00,34.607068,-98.42371,341.2,164.0,82,,1.0,2.765814419325076,2.765814419325076,2.8026534737549023,356.80472429587707
85,2025-04-29 19:14:29+00:00,34.607063,-98.423678,341.2,,82,,1.0,2.980971350471063,2.980971350471063,2.793754024119628,357.9413188729532
86,2025-04-29 19:14:30+00:00,34.607054,-98.423651,341.2,162.0,81,,1.0,2.6660187258055634,2.6660187258055634,2.749398012914136,363.7159826634493
87,2025-04-29 19:14:31+00:00,34.607049,-98.423621,341.2,161.0,81,,1.0,2.8013499717837163,2.8013499717837163,2.731232200726619,366.1351091767149
88,2025-04-29 19:14:32+00:00,34.607044,-98.423594,341.2,163.0,81,,1.0,2.532835597185261,2.532835597185261,2.7042075926240146,369.79409521946314
89,2025-04-29 19:14:33+00:00,34.607041,-98.423565,341.2,,81,,1.0,2.674985358387493,2.674985358387493,2.695444107808834,370.9963775924534
90,2025-04-29 19:14:34+00:00,34.607043,-98.423534,341.2,,81,,1.0,2.845848309958039,2.845848309958039,2.667855044052573,374.8329588705697
91,2025-04-29 19:14:35+00:00,34.607048,-98.423506,341.2,161.0,81,,1.0,2.6222013017296604,2.6222013017296604,2.747021189094717,364.03068311589936
92,2025-04-29 19:14:36+00:00,34.607046,-98.423477,341.2,162.0,81,,1.0,2.6634046530024116,2.6634046530024116,2.7615991927208947,362.1090282166325
93,2025-04-29 19:14:37+00:00,34.607046,-98.423445,341.2,,82,,1.0,2.92866632239598,2.92866632239598,2.712608742435739,368.648815568613
94,2025-04-29 19:14:38+00:00,34.607047,-98.423415,341.2,,82,,1.0,2.7478753765183823,2.7478753765183823,2.798720947943703,357.306076096914
95,2025-04-29 19:14:39+00:00,34.607051,-98.423387,341.2,162.0,83,,1.0,2.6008960585322614,2.6008960585322614,2.8534595133965563,350.45179204581416
96,2025-04-29 19:14:40+00:00,34.607055,-98.423354,341.2,160.0,83,,1.0,3.05276232926948,3.05276232926948,2.8733989327862135,348.01989678138506
97,2025-04-29 19:14:41+00:00,34.607057,-98.423322,341.2,157.0,82,,1.0,2.937097480266678,2.937097480266678,2.8916884989376728,345.81871469467495
98,2025-04-29 19:14:42+00:00,34.607059,-98.423289,341.2,,83,,1.0,3.0283634193442643,3.0283634193442643,2.938938291571433,340.25893053552545
99,2025-04-29 19:14:43+00:00,34.60706,-98.423258,341.2,,83,,1.0,2.83932320727568,2.83932320727568,2.9158052863536428,342.95842890474654
100,2025-04-29 19:14:44+00:00,34.60706,-98.423227,341.3,,82,,1.0,2.8371450217010628,2.8371450217010628,2.8779607667388554,347.46825306209587
101,2025-04-29 19:14:45+00:00,34.607062,-98.423195,341.3,152.0,82,,1.0,2.9370973031805274,2.9370973031805274,2.864737666290635,349.07210240120725
102,2025-04-29 19:14:46+00:00,34.607061,-98.423165,341.3,,82,,1.0,2.7478748821927432,2.7478748821927432,2.8712325579041442,348.2824814197391
103,2025-04-29 19:14:47+00:00,34.607057,-98.423133,341.3,,83,,1.0,2.9622479171031624,2.9622479171031624,2.8529284425573276,350.5170284269777
104,2025-04-29 19:14:48+00:00,34.607053,-98.423102,341.3,,83,,1.0,2.8717976653432253,2.8717976653432253,2.9614226018105105,337.6755480250049
105,2025-04-29 19:14:49+00:00,34.607053,-98.423072,341.3,,83,,1.0,2.745624444966979,2.745624444966979,3.0158849961200973,331.57763021019997
106,2025-04-29 19:14:50+00:00,34.607054,-98.423034,341.4,,83,,1.0,3.4795680994464417,3.4795680994464417,3.0640811088528985,326.3621178665112
107,2025-04-29 19:14:51+00:00,34.607054,-98.423001,341.4,,84,,1.0,3.020186853740677,3.020186853740677,3.0571506211270902,327.1019730232744
108,2025-04-29 19:14:52+00:00,34.607054,-98.422966,341.4,,84,,1.0,3.203228480767168,3.203228480767168,3.0758904145599995,325.10911158161275
109,2025-04-29 19:14:53+00:00,34.607054,-98.422935,341.4,161.0,84,,1.0,2.8371452267141852,2.8371452267141852,2.8786721501480534,347.3823859895156
110,2025-04-29 19:14:54+00:00,34.607053,-98.422904,341.4,159.0,84,,1.0,2.8393234121315256,2.8393234121315256,2.698198651114098,370.61763394889243
111,2025-04-29 19:14:55+00:00,34.60705,-98.422877,341.4,159.0,84,,1.0,2.4934767773867104,2.4934767773867104,2.7224801858616963,367.312131487006
112,2025-04-29 19:14:56+00:00,34.607042,-98.422856,341.5,159.0,85,,1.0,2.1178193585709004,2.1178193585709004,2.729410774857149,366.37944321603175
113,2025-04-29 19:14:57+00:00,34.607038,-98.42282,341.5,159.0,84,,1.0,3.32463615450516,3.32463615450516,2.7307157612476702,366.20435352198564
114,2025-04-29 19:14:58+00:00,34.607042,-98.422789,341.5,,84,,1.0,2.871798171691447,2.871798171691447,2.782943753668218,359.33173233626906
115,2025-04-29 19:14:59+00:00,34.60704,-98.422758,341.5,159.0,84,,1.0,2.8458483440841316,2.8458483440841316,2.9089550169887843,343.7660583129793
116,2025-04-29 19:15:00+00:00,34.607038,-98.422728,341.5,158.0,84,,1.0,2.754616739489452,2.754616739489452,2.797190893164411,357.50152141698067
117,2025-04-29 19:15:01+00:00,34.607037,-98.422698,341.5,159.0,83,,1.0,2.7478756751737308,2.7478756751737308,2.794169197749866,357.8881339058838
118,2025-04-29 19:15:02+00:00,34.607034,-98.422668,341.6,,83,,1.0,2.7658155353832945,2.7658155353832945,2.775922936169303,360.2405480967611
119,2025-04-29 19:15:03+00:00,34.607031,-98.422637,341.6,,83,,1.0,2.8566896946187215,2.8566896946187215,2.8107329726722035,355.77908315114183
120,2025-04-29 19:15:04+00:00,34.607029,-98.422607,341.6,166.0,83,,1.0,2.754617036181316,2.754617036181316,2.810733025275545,355.77907649267644
121,2025-04-29 19:15:05+00:00,34.607029,-98.422575,341.6,169.0,82,,1.0,2.9286669220039565,2.9286669220039565,2.588011470653483,386.3970509170487
122,2025-04-29 19:15:06+00:00,34.60703,-98.422545,341.6,,81,,1.0,2.7478759381904387,2.7478759381904387,2.3854489869580195,419.2082938965815
123,2025-04-29 19:15:07+00:00,34.607025,-98.422528,341.6,165.0,78,,1.0,1.652207762272983,1.652207762272983,2.1406041239862876,467.1578405341827
124,2025-04-29 19:15:08+00:00,34.607023,-98.422508,341.6,,75,,1.0,1.843877276141404,1.843877276141404,1.9026035954734073,525.5955588327264
125,2025-04-29 19:15:09+00:00,34.607019,-98.422492,341.7,166.0,75,,1.0,1.5303927213226562,1.5303927213226562,1.6501925434198004,605.9898912933127
126,2025-04-29 19:15:10+00:00,34.607014,-98.422474,341.7,,71,,1.0,1.738664279439555,1.738664279439555,1.608667927706545,621.6323349130766
127,2025-04-29 19:15:11+00:00,34.607005,-98.422462,341.7,,68,,1.0,1.485820677922403,1.485820677922403,1.4944003021319325,669.164746937876
128,2025-04-29 19:15:12+00:00,34.606999,-98.422448,341.7,,64,,1.0,1.4445846837067071,1.4445846837067071,1.488159146954103,671.9711410212778
